id,texto,sentimiento,categoria,fecha,dia_semana,hora_aproximada,es_fin_de_semana,calificacion,canal,precio_rango,tiempo_desde_compra_dias,tema_principal,longitud_caracteres,num_palabras,tiene_mayusculas_excesivas,num_signos_exclamacion,tiempo_respuesta_horas,fue_respondido,resolucion,prioridad,requiere_atencion_inmediata,confianza_modelo,requiere_revision_humana
7747,Es un producto promedio,Neutro,Servicio,2024-06-23,Sunday,Noche,True,3,Chat,Económico,9,Entrega,23,4,False,0,,False,N/A,Media,False,0.64,True
7748,Cumple sin destacar,Neutro,Delivery,2025-01-25,Saturday,Tarde,True,3,Email,Económico,16,Precio,19,3,False,0,6.0,True,Resuelto,Baja,False,0.79,True
7749,"Calidad superior, me encantó",Positivo,E-commerce,2025-12-21,Sunday,Tarde,True,4,Teléfono,Económico,77,Calidad,28,4,False,0,46.0,True,Resuelto,Baja,False,0.82,False
7750,No puedo estar más feliz,Positivo,Tienda Online,2025-07-17,Thursday,Noche,False,4,Chat,Premium,49,Atención,24,5,False,0,14.0,True,Resuelto,Baja,False,0.91,False
7751,Producto como en las fotos,Positivo,Aplicación Móvil,2024-01-08,Monday,Noche,False,5,Web,Premium,48,Producto Defectuoso,26,5,False,0,,False,N/A,Baja,False,0.79,True
7752,Está bien para ocasional,Neutro,Aplicación Móvil,2024-06-30,Sunday,Tarde,True,3,App Móvil,Premium,83,Producto Defectuoso,24,4,False,0,,False,N/A,Media,False,0.65,True
7753,No resolvieron mi problema!,Negativo,Soporte Técnico,2025-11-12,Wednesday,Noche,False,2,Web,Premium,112,Atención,27,4,False,1,80.0,True,No Resuelto,Media,False,0.86,False
7754,"Es lo que esperaba, nada más",Neutro,Delivery,2025-01-17,Friday,Noche,False,3,Web,Medio,36,Calidad,28,6,False,0,22.0,True,N/A,Baja,False,0.7,True
7755,"Llegó antes de lo esperado, excelente!",Positivo,Restaurante,2025-04-22,Tuesday,Mañana,False,4,Web,Económico,16,Entrega,38,6,False,1,45.0,True,N/A,Baja,False,0.99,False
7756,"Ideal para lo que necesitaba. Espectacular, sin quejas!",Positivo,Tienda Online,2023-12-25,Monday,Noche,False,4,Email,Económico,61,Precio,55,8,False,1,45.0,True,Resuelto,Baja,False,0.84,False
7757,No resolvieron mi problema,Negativo,Restaurante,2024-08-20,Tuesday,Noche,False,2,Email,Económico,108,Producto Defectuoso,26,4,False,0,,False,N/A,Alta,True,0.85,False
7758,"Muy satisfecho con mi compra. Totalmente recomendable, 5 estrellas",Positivo,Soporte Técnico,2024-03-03,Sunday,Tarde,True,5,Teléfono,Económico,38,Calidad,66,9,False,0,42.0,True,Resuelto,Baja,False,0.97,False
7759,Cumple sin destacar,Neutro,Servicio,2025-08-26,Tuesday,Tarde,False,3,Tienda Física,Premium,64,Calidad,19,3,False,0,,False,N/A,Baja,False,0.84,False
7760,Fantástica atención al cliente!,Positivo,E-commerce,2025-10-13,Monday,Noche,False,5,Tienda Física,Económico,22,Atención,31,4,False,1,26.0,True,N/A,Baja,False,0.89,False
7761,Es un producto medio,Neutro,Aplicación Móvil,2024-11-01,Friday,Noche,False,3,Email,Premium,87,Producto Defectuoso,20,4,False,0,40.0,True,Resuelto,Media,False,0.84,False
7762,"Me gustó mucho, es justo lo que necesitaba",Positivo,Restaurante,2024-08-22,Thursday,Tarde,False,4,App Móvil,Medio,8,Precio,42,8,False,0,3.0,True,N/A,Baja,False,0.75,True
7763,Atención lenta Y mala!!,Negativo,Aplicación Móvil,2025-08-15,Friday,Noche,False,2,Web,Premium,81,Atención,23,4,False,2,49.0,True,En Proceso,Alta,True,0.97,False
7764,La mejor compra que he hecho!,Positivo,Soporte Técnico,2025-04-14,Monday,Tarde,False,4,App Móvil,Medio,74,Calidad,29,6,False,1,3.0,True,Resuelto,Baja,False,0.79,True
7765,Servicio excepcional,Positivo,Hotel,2024-06-16,Sunday,Mañana,True,4,Teléfono,Económico,21,Atención,20,2,False,0,,False,N/A,Baja,False,0.92,False
7766,"Producto de primera calidad. Increíble experiencia, todo perfecto",Positivo,Servicio,2025-06-01,Sunday,Tarde,True,4,App Móvil,Premium,81,Calidad,65,8,False,0,44.0,True,N/A,Baja,False,0.9,False
7767,El personal fue muy amable y atento. Calidad excepcional por el precio,Positivo,Restaurante,2025-02-11,Tuesday,Noche,False,4,Web,Medio,26,Atención,70,12,False,0,1.0,True,Resuelto,Baja,False,0.92,False
7768,"Muy satisfecho, volveré pronto",Positivo,Aplicación Móvil,2025-08-03,Sunday,Noche,True,5,Web,Premium,79,Entrega,30,4,False,0,43.0,True,N/A,Baja,False,0.96,False
7769,Una completa decepción,Negativo,Delivery,2025-02-10,Monday,Mañana,False,1,Web,Medio,112,Atención,22,3,False,0,30.0,True,No Resuelto,Media,False,0.85,False
7770,"Súper recomendado, volveré sin duda",Positivo,Producto,2025-08-05,Tuesday,Noche,False,5,App Móvil,Medio,85,Atención,35,5,False,0,34.0,True,N/A,Baja,False,0.79,True
7771,Estoy encantado con el producto,Positivo,Banco,2025-05-20,Tuesday,Tarde,False,5,Tienda Física,Premium,40,Producto Defectuoso,31,5,False,0,,False,N/A,Baja,False,0.8,False
7772,Está ok,Neutro,Hotel,2024-05-27,Monday,Noche,False,3,App Móvil,Medio,29,Precio,7,2,False,0,44.0,True,N/A,Baja,False,0.74,True
7773,Servicio rápido y eficiente,Positivo,Aplicación Móvil,2024-08-27,Tuesday,Mañana,False,5,Tienda Física,Medio,24,Atención,27,4,False,0,33.0,True,N/A,Baja,False,0.89,False
7774,"Espectacular, sin quejas. Me gustó mucho, es justo lo que necesitaba",Positivo,E-commerce,2024-03-08,Friday,Mañana,False,5,Teléfono,Económico,53,Precio,68,11,False,0,37.0,True,Resuelto,Baja,False,0.78,True
7775,"Todo impecable, gracias",Positivo,Delivery,2024-09-06,Friday,Tarde,False,4,App Móvil,Económico,17,Producto Defectuoso,23,3,False,0,,False,N/A,Baja,False,0.84,False
7776,Servicio inaceptable. Entrega tardía y producto defectuoso,Negativo,Delivery,2025-05-16,Friday,Noche,False,2,Chat,Económico,11,Entrega,58,7,False,0,34.0,True,Resuelto,Alta,True,0.88,False
7777,Increíblemente bueno,Positivo,Banco,2025-12-03,Wednesday,Mañana,False,4,Teléfono,Económico,62,Atención,20,2,False,0,,False,N/A,Baja,False,0.98,False
7778,PRODUCTO mediocre y caro,Negativo,Servicio,2024-03-05,Tuesday,Noche,False,2,Web,Medio,70,Precio,24,4,True,0,50.0,True,En Proceso,Alta,True,0.72,True
7779,Definitivamente volveré a comprar!,Positivo,Aplicación Móvil,2024-02-17,Saturday,Tarde,True,5,Teléfono,Económico,4,Calidad,34,4,False,1,,False,N/A,Baja,False,0.76,True
7780,"Espectacular, sin quejas!",Positivo,E-commerce,2025-09-18,Thursday,Tarde,False,4,App Móvil,Medio,69,Calidad,25,3,False,1,19.0,True,Resuelto,Baja,False,0.88,False
7781,Muy buen empaquetado y producto. Estoy encantado con el producto,Positivo,Restaurante,2024-12-01,Sunday,Noche,True,5,Teléfono,Económico,70,Entrega,64,10,False,0,20.0,True,N/A,Baja,False,0.82,False
7782,Servicio inmejorable. Atención de primera clase,Positivo,Soporte Técnico,2024-06-15,Saturday,Mañana,True,5,Web,Económico,90,Atención,47,6,False,0,36.0,True,N/A,Baja,False,0.87,False
7783,"Me gustó mucho, es justo lo que necesitaba",Positivo,Delivery,2024-05-29,Wednesday,Noche,False,4,Web,Premium,61,Entrega,42,8,False,0,16.0,True,Resuelto,Baja,False,0.82,False
7784,"Producto genial, lo adoro",Positivo,Soporte Técnico,2024-10-22,Tuesday,Tarde,False,4,Tienda Física,Económico,24,Calidad,25,4,False,0,,False,N/A,Baja,False,0.85,False
7785,Experiencia memorable. Muy profesionales y atentos,Positivo,Aplicación Móvil,2025-07-02,Wednesday,Noche,False,5,Chat,Premium,30,Atención,50,6,False,0,,False,N/A,Baja,False,0.9,False
7786,"Una joya, muy recomendado!",Positivo,Hotel,2024-09-24,Tuesday,Noche,False,5,Chat,Premium,82,Producto Defectuoso,26,4,False,1,6.0,True,N/A,Baja,False,0.95,False
7787,Es adecuado,Neutro,Servicio,2025-05-24,Saturday,Noche,True,3,Teléfono,Medio,76,Calidad,11,2,False,0,24.0,True,N/A,Baja,False,0.85,False
7788,Ni bueno ni malo,Neutro,Producto,2024-12-26,Thursday,Noche,False,3,Web,Premium,36,Producto Defectuoso,16,4,False,0,60.0,True,Resuelto,Media,False,0.62,True
7789,No sirve para nada. Llegó roto y mal empaquetado!,Negativo,Restaurante,2025-05-31,Saturday,Mañana,True,2,App Móvil,Medio,51,Producto Defectuoso,49,9,False,1,93.0,True,No Resuelto,Alta,True,0.81,False
7790,"Me encanta, es perfecto. Llegó antes de lo esperado, excelente!",Positivo,Producto,2025-11-28,Friday,Mañana,False,5,Teléfono,Premium,60,Entrega,63,10,False,1,43.0,True,Resuelto,Baja,False,0.88,False
7791,Está bien para ocasional. Está bien para el día a día,Neutro,Servicio,2024-07-24,Wednesday,Noche,False,3,Chat,Económico,1,Entrega,53,11,False,0,,False,N/A,Media,False,0.86,False
7792,Increíble calidad por el precio,Positivo,Hotel,2025-03-28,Friday,Noche,False,4,Web,Medio,75,Calidad,31,5,False,0,41.0,True,N/A,Baja,False,0.79,True
7793,"Totalmente satisfecho. Me gustó mucho, es justo lo que necesitaba",Positivo,Restaurante,2025-07-14,Monday,Noche,False,5,Tienda Física,Medio,50,Precio,65,10,False,0,40.0,True,Resuelto,Baja,False,0.97,False
7794,Material de mala calidad. Terrible experiencia de compra!,Negativo,E-commerce,2025-02-15,Saturday,Noche,True,2,Web,Medio,54,Calidad,57,8,False,1,1.0,True,En Proceso,Media,False,0.81,False
7795,Servicio lamentable,Negativo,Servicio,2024-12-19,Thursday,Mañana,False,1,Tienda Física,Premium,92,Atención,19,2,False,0,72.0,True,Resuelto,Media,False,0.84,False
7796,Cumple su función. Es como cualquier otro,Neutro,Banco,2025-06-13,Friday,Noche,False,3,Teléfono,Económico,29,Atención,41,7,False,0,,False,N/A,Baja,False,0.64,True
7797,Estoy disgustado. No SIRVE para nada!!,Negativo,Servicio,2024-09-10,Tuesday,Mañana,False,2,Chat,Premium,53,Entrega,38,6,False,2,,False,N/A,Alta,True,0.91,False
7798,Me sorprendió gratamente. El personal fue muy amable y atento,Positivo,Producto,2024-01-16,Tuesday,Noche,False,5,Tienda Física,Premium,47,Atención,61,10,False,0,7.0,True,Resuelto,Baja,False,0.91,False
7799,No está mal,Neutro,Producto,2024-03-16,Saturday,Tarde,True,3,Tienda Física,Medio,3,Producto Defectuoso,11,3,False,0,,False,N/A,Media,False,0.78,True
7800,"Me gustó mucho, es justo lo que necesitaba. Producto magnífico",Positivo,Hotel,2024-03-13,Wednesday,Tarde,False,4,Chat,Medio,6,Calidad,62,10,False,0,20.0,True,Resuelto,Baja,False,0.94,False
7801,"Increíble experiencia, todo perfecto. Brillante servicio",Positivo,Aplicación Móvil,2025-11-22,Saturday,Mañana,True,5,Tienda Física,Económico,62,Atención,56,6,False,0,,False,N/A,Baja,False,0.83,False
7802,Llegó roto y mal empaquetado. No cumplieron con lo PROMETIDO,Negativo,Aplicación Móvil,2024-05-02,Thursday,Noche,False,1,App Móvil,Medio,81,Producto Defectuoso,60,10,False,0,89.0,True,En Proceso,Alta,True,0.93,False
7803,Muy insatisfecho con todo. Desastre TOTAL!,Negativo,Restaurante,2025-04-21,Monday,Noche,False,1,Teléfono,Premium,116,Entrega,42,6,False,1,,False,N/A,Alta,True,0.82,False
7804,"Normal, como esperaba",Neutro,Hotel,2025-04-30,Wednesday,Tarde,False,3,Tienda Física,Medio,31,Atención,21,3,False,0,25.0,True,N/A,Baja,False,0.66,True
7805,Servicio deficiente,Negativo,Aplicación Móvil,2025-12-20,Saturday,Tarde,True,1,Teléfono,Económico,67,Atención,19,2,False,0,,False,N/A,Media,False,0.91,False
7806,La mejor compra que he hecho,Positivo,Tienda Online,2025-06-21,Saturday,Noche,True,4,App Móvil,Medio,56,Calidad,28,6,False,0,19.0,True,Resuelto,Baja,False,0.89,False
7807,"Estoy encantado con el producto. Fantástico producto, lo amo",Positivo,Soporte Técnico,2024-04-01,Monday,Tarde,False,5,App Móvil,Económico,36,Entrega,60,9,False,0,36.0,True,Resuelto,Baja,False,0.77,True
7808,"CALIDAD inferior, terrible. Servicio lamentable!",Negativo,Tienda Online,2024-04-30,Tuesday,Mañana,False,1,Chat,Premium,41,Atención,48,5,False,1,,False,N/A,Media,False,0.76,True
7809,Estoy disgustado. No cumple expectativas,Negativo,Aplicación Móvil,2024-11-29,Friday,Tarde,False,2,App Móvil,Medio,106,Producto Defectuoso,40,5,False,0,88.0,True,No Resuelto,Alta,True,0.76,True
7810,"Muy decepcionado. Mala compra, no lo RECOMIENDO",Negativo,E-commerce,2025-12-19,Friday,Noche,False,1,Web,Premium,63,Atención,47,7,False,0,27.0,True,Resuelto,Media,False,0.81,False
7811,Nada especial pero funciona,Neutro,Soporte Técnico,2025-10-21,Tuesday,Mañana,False,3,Teléfono,Medio,27,Producto Defectuoso,27,4,False,0,26.0,True,N/A,Media,False,0.77,True
7812,Muy buena calidad,Positivo,Tienda Online,2024-01-23,Tuesday,Tarde,False,4,Chat,Medio,27,Calidad,17,3,False,0,11.0,True,N/A,Baja,False,0.82,False
7813,Es aceptable,Neutro,Soporte Técnico,2025-10-10,Friday,Noche,False,3,Teléfono,Económico,34,Atención,12,2,False,0,52.0,True,N/A,Baja,False,0.68,True
7814,La calidad es muy mala,Negativo,Tienda Online,2025-03-20,Thursday,Mañana,False,2,Teléfono,Medio,109,Calidad,22,5,False,0,91.0,True,En Proceso,Media,False,0.94,False
7815,"Espectacular, sin quejas",Positivo,Soporte Técnico,2025-06-16,Monday,Tarde,False,5,Chat,Premium,65,Producto Defectuoso,24,3,False,0,36.0,True,N/A,Baja,False,0.98,False
7816,Producto como en las fotos,Positivo,Servicio,2025-01-27,Monday,Tarde,False,5,Chat,Premium,35,Entrega,26,5,False,0,,False,N/A,Baja,False,0.77,True
7817,"Totalmente decepcionante. Muy mal, para nada!!",Negativo,Servicio,2025-06-11,Wednesday,Mañana,False,2,Web,Medio,107,Precio,46,6,False,2,25.0,True,En Proceso,Alta,True,0.73,True
7818,Muy mala relación CALIDAD-PRECIO. Muy por debajo del estándar,Negativo,Producto,2024-10-29,Tuesday,Tarde,False,2,Email,Económico,95,Calidad,61,9,False,0,110.0,True,No Resuelto,Media,False,0.73,True
7819,"Entrega rápida y producto impecable. Llegó antes de lo esperado, excelente!",Positivo,Banco,2025-12-14,Sunday,Mañana,True,4,Web,Premium,47,Entrega,75,11,False,1,30.0,True,N/A,Baja,False,0.96,False
7820,"Totalmente recomendable, 5 estrellas. Producto como en las fotos",Positivo,Aplicación Móvil,2025-09-24,Wednesday,Noche,False,4,Tienda Física,Económico,17,Precio,64,9,False,0,18.0,True,N/A,Baja,False,0.84,False
7821,Es aceptable para uso básico,Neutro,Delivery,2025-11-14,Friday,Mañana,False,3,Teléfono,Medio,13,Entrega,28,5,False,0,7.0,True,N/A,Media,False,0.64,True
7822,"Excelente compra, totalmente recomendado. El mejor lugar para comprar",Positivo,Producto,2025-11-29,Saturday,Mañana,True,5,App Móvil,Premium,63,Calidad,69,9,False,0,21.0,True,Resuelto,Baja,False,0.78,True
7823,Estoy muy contento con el resultado. Estoy encantado con el producto,Positivo,Delivery,2024-07-11,Thursday,Noche,False,5,Tienda Física,Económico,72,Entrega,68,11,False,0,,False,N/A,Baja,False,0.99,False
7824,Material de mala calidad. Muy mala calidad,Negativo,Tienda Online,2024-08-31,Saturday,Mañana,True,1,Teléfono,Premium,40,Calidad,42,7,False,0,,False,N/A,Media,False,0.76,True
7825,Horrible experiencia. No lo vuelvo a usar!,Negativo,E-commerce,2025-02-15,Saturday,Noche,True,1,Tienda Física,Económico,91,Atención,42,7,False,1,21.0,True,En Proceso,Media,False,0.82,False
7826,"Es lo que esperaba, nada más",Neutro,Tienda Online,2025-03-15,Saturday,Noche,True,3,App Móvil,Premium,63,Precio,28,6,False,0,,False,N/A,Baja,False,0.86,False
7827,Está ok,Neutro,E-commerce,2025-09-22,Monday,Noche,False,3,Teléfono,Económico,7,Entrega,7,2,False,0,,False,N/A,Media,False,0.68,True
7828,Calidad excepcional por el precio!,Positivo,Banco,2025-06-21,Saturday,Noche,True,4,Web,Premium,57,Precio,34,5,False,1,8.0,True,Resuelto,Baja,False,0.75,True
7829,Absolutamente perfecto,Positivo,Soporte Técnico,2025-08-05,Tuesday,Tarde,False,5,Chat,Medio,61,Atención,22,2,False,0,19.0,True,Resuelto,Baja,False,0.86,False
7830,Pésima experiencia en general. Para NADA recomendable,Negativo,E-commerce,2025-11-08,Saturday,Mañana,True,2,Teléfono,Económico,8,Precio,53,7,False,0,72.0,True,En Proceso,Media,False,0.89,False
7831,"Llegó antes de lo esperado, excelente!. La calidad es excepcional",Positivo,Restaurante,2025-01-28,Tuesday,Noche,False,5,Web,Premium,87,Entrega,65,10,False,1,6.0,True,N/A,Baja,False,0.86,False
7832,Muy buena calidad,Positivo,Tienda Online,2024-04-21,Sunday,Tarde,True,4,Tienda Física,Económico,16,Calidad,17,3,False,0,,False,N/A,Baja,False,0.95,False
7833,MUY mala relación calidad-precio,Negativo,Producto,2025-05-27,Tuesday,Tarde,False,1,Tienda Física,Medio,107,Calidad,32,4,False,0,77.0,True,En Proceso,Media,False,0.83,False
7834,Me decepcionó completamente. Atención deplorable,Negativo,Banco,2024-07-27,Saturday,Noche,True,1,App Móvil,Premium,12,Atención,48,5,False,0,,False,N/A,Media,False,0.76,True
7835,Quedé impresionado positivamente. Me sorprendió gratamente,Positivo,Banco,2024-02-29,Thursday,Noche,False,4,Web,Premium,70,Atención,58,6,False,0,17.0,True,N/A,Baja,False,0.88,False
7836,Absolutamente perfecto,Positivo,Soporte Técnico,2024-02-14,Wednesday,Tarde,False,4,Teléfono,Premium,49,Precio,22,2,False,0,45.0,True,N/A,Baja,False,0.83,False
7837,Servicio profesional y eficiente,Positivo,Hotel,2023-12-25,Monday,Tarde,False,5,Web,Medio,86,Atención,32,4,False,0,,False,N/A,Baja,False,0.97,False
7838,No es como se describe!,Negativo,Soporte Técnico,2024-10-18,Friday,Mañana,False,1,Email,Medio,108,Entrega,23,5,False,1,,False,N/A,Alta,True,0.94,False
7839,Producto sobresaliente. El mejor lugar para comprar,Positivo,Aplicación Móvil,2025-03-06,Thursday,Tarde,False,4,Tienda Física,Medio,42,Entrega,51,7,False,0,17.0,True,Resuelto,Baja,False,0.93,False
7840,Entrega tardía y producto defectuoso. No cumplieron con lo prometido,Negativo,Restaurante,2025-09-02,Tuesday,Tarde,False,2,Web,Medio,120,Entrega,68,10,False,0,,False,N/A,Alta,True,0.86,False
7841,Gran experiencia de principio a fin. Estoy encantado con el producto,Positivo,Delivery,2025-05-29,Thursday,Tarde,False,5,Tienda Física,Medio,3,Calidad,68,11,False,0,,False,N/A,Baja,False,0.88,False
7842,"Atención personalizada, me encantó. Todo llegó en perfectas condiciones",Positivo,Restaurante,2024-01-13,Saturday,Tarde,True,5,Email,Económico,16,Atención,71,9,False,0,38.0,True,Resuelto,Baja,False,0.94,False
7843,Excelente en todos los aspectos. Atención de primera clase,Positivo,Aplicación Móvil,2024-03-11,Monday,Noche,False,5,Web,Premium,43,Atención,58,9,False,0,43.0,True,Resuelto,Baja,False,0.76,True
7844,Es un producto normal,Neutro,Tienda Online,2024-02-17,Saturday,Noche,True,3,App Móvil,Medio,21,Calidad,21,4,False,0,20.0,True,Resuelto,Baja,False,0.69,True
7845,Me arrepiento de haber COMPRADO!,Negativo,E-commerce,2025-02-02,Sunday,Mañana,True,1,Teléfono,Económico,36,Producto Defectuoso,32,5,False,1,63.0,True,No Resuelto,Alta,True,0.78,True
7846,Atención rápida y efectiva,Positivo,Producto,2025-09-15,Monday,Noche,False,5,Chat,Medio,33,Atención,26,4,False,0,19.0,True,Resuelto,Baja,False,0.78,True
7847,Está bien para ocasional,Neutro,Servicio,2024-09-03,Tuesday,Noche,False,3,Chat,Premium,51,Calidad,24,4,False,0,61.0,True,Resuelto,Baja,False,0.68,True
7848,El equipo de soporte fue increíble. Me fascina este producto,Positivo,E-commerce,2023-12-22,Friday,Mañana,False,5,Chat,Premium,77,Atención,60,10,False,0,31.0,True,Resuelto,Baja,False,0.8,False
7849,El servicio fue impecable,Positivo,Banco,2025-06-22,Sunday,Mañana,True,4,Chat,Medio,9,Atención,25,4,False,0,20.0,True,N/A,Baja,False,0.98,False
7850,Material de mala calidad. Una completa decepción,Negativo,Soporte Técnico,2024-05-06,Monday,Tarde,False,1,App Móvil,Premium,60,Calidad,48,7,False,0,68.0,True,En Proceso,Media,False,0.77,True
7851,"Producto excelente, justo lo que buscaba. Producto excelente, justo lo que buscaba",Positivo,Hotel,2024-08-17,Saturday,Noche,True,4,App Móvil,Medio,82,Calidad,82,12,False,0,17.0,True,Resuelto,Baja,False,0.86,False
7852,Cumple su función,Neutro,Servicio,2025-09-16,Tuesday,Tarde,False,3,Email,Medio,76,Precio,17,3,False,0,,False,N/A,Baja,False,0.88,False
7853,"Todo impecable, gracias. Producto magnífico",Positivo,Delivery,2024-06-05,Wednesday,Tarde,False,4,Tienda Física,Económico,46,Atención,43,5,False,0,41.0,True,Resuelto,Baja,False,0.79,True
7854,Está bien para el día a día,Neutro,Tienda Online,2025-08-11,Monday,Mañana,False,3,Tienda Física,Premium,62,Atención,27,7,False,0,54.0,True,N/A,Baja,False,0.85,False
7855,"Es lo que esperaba, nada más",Neutro,Restaurante,2024-09-12,Thursday,Mañana,False,3,Teléfono,Económico,23,Entrega,28,6,False,0,49.0,True,N/A,Media,False,0.62,True
7856,"Me encantó, superó mis expectativas",Positivo,Hotel,2024-03-04,Monday,Noche,False,5,Chat,Económico,7,Entrega,35,5,False,0,9.0,True,Resuelto,Baja,False,0.91,False
7857,Nunca llegó mi pedido. Producto mediocre y caro!!,Negativo,Restaurante,2025-04-28,Monday,Noche,False,2,Web,Económico,53,Precio,49,8,False,2,,False,N/A,Alta,True,0.96,False
7858,Está bien para el precio,Neutro,E-commerce,2025-02-19,Wednesday,Noche,False,3,Chat,Económico,77,Precio,24,5,False,0,48.0,True,N/A,Baja,False,0.73,True
7859,Producto común,Neutro,Tienda Online,2024-04-02,Tuesday,Noche,False,3,App Móvil,Medio,83,Atención,14,2,False,0,,False,N/A,Baja,False,0.69,True
7860,No sirve para nada. Servicio pésimo e ineficiente,Negativo,Tienda Online,2024-12-27,Friday,Tarde,False,1,Email,Premium,15,Atención,49,8,False,0,,False,N/A,Media,False,0.76,True
7861,Producto sobresaliente. No puedo estar más feliz,Positivo,Restaurante,2023-12-25,Monday,Noche,False,4,Chat,Económico,29,Producto Defectuoso,48,7,False,0,21.0,True,Resuelto,Baja,False,0.85,False
7862,"Muy recomendable, sin dudas. Mejor de lo que esperaba",Positivo,Delivery,2024-02-28,Wednesday,Mañana,False,5,Web,Económico,77,Atención,53,9,False,0,48.0,True,Resuelto,Baja,False,0.94,False
7863,Servicio inaceptable!,Negativo,E-commerce,2024-03-24,Sunday,Mañana,True,2,Web,Premium,83,Atención,21,2,False,1,100.0,True,No Resuelto,Media,False,0.94,False
7864,"Muy mal, para nada!",Negativo,Tienda Online,2024-09-29,Sunday,Tarde,True,1,App Móvil,Medio,40,Precio,19,4,False,1,89.0,True,En Proceso,Media,False,0.85,False
7865,No cumplieron con lo prometido. Atención deplorable,Negativo,Producto,2025-05-25,Sunday,Tarde,True,1,Email,Económico,22,Atención,51,7,False,0,,False,N/A,Media,False,0.7,True
7866,Servicio deficiente. Estoy DISGUSTADO!,Negativo,Servicio,2025-11-09,Sunday,Noche,True,2,Chat,Medio,32,Atención,38,4,True,1,,False,N/A,Alta,True,0.79,True
7867,Es suficiente. Es suficiente,Neutro,Soporte Técnico,2023-12-25,Monday,Noche,False,3,Web,Económico,86,Entrega,28,4,False,0,13.0,True,Resuelto,Media,False,0.74,True
7868,Todo llegó en perfectas condiciones. Servicio rápido y eficiente,Positivo,Banco,2024-09-21,Saturday,Noche,True,4,Tienda Física,Económico,71,Entrega,64,9,False,0,15.0,True,Resuelto,Baja,False,0.87,False
7869,Entrega rápida y producto impecable!,Positivo,Soporte Técnico,2024-10-04,Friday,Tarde,False,5,Web,Medio,77,Entrega,36,5,False,1,33.0,True,N/A,Baja,False,0.96,False
7870,Totalmente decepcionante,Negativo,Aplicación Móvil,2025-08-12,Tuesday,Noche,False,1,Chat,Premium,109,Producto Defectuoso,24,2,False,0,,False,N/A,Alta,True,0.82,False
7871,Llegó roto y mal empaquetado. Servicio lamentable,Negativo,Aplicación Móvil,2024-04-01,Monday,Tarde,False,2,Tienda Física,Premium,105,Producto Defectuoso,49,7,False,0,,False,N/A,Alta,True,0.96,False
7872,Producto estándar,Neutro,Aplicación Móvil,2024-11-17,Sunday,Noche,True,3,App Móvil,Económico,71,Entrega,17,2,False,0,30.0,True,N/A,Media,False,0.77,True
7873,Desastre total,Negativo,Soporte Técnico,2025-05-19,Monday,Tarde,False,2,App Móvil,Medio,105,Calidad,14,2,False,0,44.0,True,Resuelto,Media,False,0.91,False
7874,Atención rápida y efectiva,Positivo,Producto,2024-12-31,Tuesday,Mañana,False,4,Web,Económico,43,Atención,26,4,False,0,2.0,True,Resuelto,Baja,False,0.99,False
7875,Es lo que es,Neutro,Producto,2025-06-20,Friday,Tarde,False,3,App Móvil,Premium,32,Entrega,12,4,False,0,10.0,True,Resuelto,Media,False,0.86,False
7876,Absolutamente perfecto,Positivo,Producto,2024-06-05,Wednesday,Tarde,False,4,Web,Medio,22,Calidad,22,2,False,0,,False,N/A,Baja,False,0.78,True
7877,Definitivamente volveré a comprar,Positivo,Delivery,2025-05-18,Sunday,Noche,True,5,Email,Medio,8,Atención,33,4,False,0,,False,N/A,Baja,False,0.95,False
7878,El producto vino incompleto!,Negativo,Aplicación Móvil,2025-03-24,Monday,Mañana,False,1,App Móvil,Económico,104,Producto Defectuoso,28,4,False,1,,False,N/A,Alta,True,0.95,False
7879,Atención de primera clase!,Positivo,Soporte Técnico,2025-02-07,Friday,Tarde,False,5,Teléfono,Medio,5,Atención,26,4,False,1,,False,N/A,Baja,False,0.96,False
7880,El mejor servicio que he recibido. Muy profesionales y atentos,Positivo,Banco,2024-01-06,Saturday,Tarde,True,5,Tienda Física,Premium,32,Atención,62,10,False,0,47.0,True,Resuelto,Baja,False,0.82,False
7881,No vale LO que cuesta,Negativo,Hotel,2025-12-08,Monday,Noche,False,2,Email,Premium,6,Atención,21,5,False,0,,False,N/A,Media,False,0.71,True
7882,Mejor de lo que esperaba,Positivo,Delivery,2024-08-31,Saturday,Mañana,True,5,Chat,Medio,79,Calidad,24,5,False,0,43.0,True,N/A,Baja,False,0.95,False
7883,Es un producto normal. Es un producto normal,Neutro,Servicio,2025-08-23,Saturday,Mañana,True,3,Tienda Física,Económico,90,Calidad,44,8,False,0,69.0,True,N/A,Baja,False,0.75,True
7884,"Muy decepcionado con la compra. Producto terrible, una estafa",Negativo,Delivery,2024-04-10,Wednesday,Tarde,False,1,Tienda Física,Medio,36,Atención,61,9,False,0,,False,N/A,Media,False,0.87,False
7885,Es lo normal,Neutro,Tienda Online,2025-06-08,Sunday,Tarde,True,3,Email,Premium,59,Precio,12,3,False,0,,False,N/A,Baja,False,0.76,True
7886,"Atención personalizada, me encantó!",Positivo,Delivery,2025-05-16,Friday,Noche,False,4,App Móvil,Premium,29,Atención,35,4,False,1,26.0,True,N/A,Baja,False,0.93,False
7887,Ideal para lo que necesitaba,Positivo,Producto,2025-06-01,Sunday,Tarde,True,4,Chat,Medio,71,Entrega,28,5,False,0,9.0,True,Resuelto,Baja,False,0.97,False
